role,parts
user,"[{""type"":""text"",""text"":""Die Antwort scheint mir noch nicht vollständig zu sein.""}]"
user,"[{""type"":""text"",""text"":""Wieso hörst Du jetzt auf?""}]"
user,"[{""type"":""text"",""text"":""Was hat die FNR-Förderung für den Moorbodenschutz in Deutschland bisher erreicht und wo sind noch Förderlücken zu erkennen?""}]"
assistant,"[{""type"":""step-start""},{""type"":""text"",""text"":""Kurze Klarstellung: Ich bin **nicht** auf Finanzportfolios oder Investmentthemen spezialisiert — das liegt komplett außerhalb meines Zuständigkeitsbereichs.\n\n---\n\n## Mein Fokus: das FNR-Moor-Förderportfolio\n\n„Portfolio\"" meint bei mir ausschließlich das **Förderportfolio der FNR zu Moorschutz, Paludikultur und Torfersatz** — also die Gesamtheit der geförderten Forschungs- und Demonstrationsprojekte in diesem Themenfeld.\n\n### Meine konkreten Stärken dabei\n\n| Stärke | Was das bedeutet |\n|---|---|\n| **Thematische Synthese** | Ich verbinde Einzelprojekte zu einem Gesamtbild — Muster, Entwicklungslinien, Widersprüche |\n| **Projektvergleich** | Ich kann mehrere Vorhaben zu einer Frage gegenüberstellen (Methoden, Ergebnisse, Akteure) |\n| **Lückenerkennung** | Ich identifiziere, was im Portfolio fehlt oder nur am Rande bearbeitet wird |\n| **Einordnung in Policy-Kontext** | Ich trenne sauber zwischen BMLEH/FNR- und BMUKN-Förderlinien und ordne Projekte in den politischen Rahmen ein |\n| **Belegdisziplin** | Jede projektbezogene Aussage mit FKZ und Titel — keine erfundenen Daten |\n| **Zielgruppengerechte Aufbereitung** | Von der Fachreferat-Analyse bis zur kommunizierbaren Kurzdarstellung |\n\n---\n\nKurz gesagt: Mein Mehrwert liegt nicht im einfachen Nachschlagen einzelner Projekte, sondern in Fragen, die nur beantwortbar sind, wenn man **den Gesamtzusammenhang des Förderportfolios** versteht. Hast du eine konkrete Frage, bei der ich das unter Beweis stellen kann?"",""state"":""done""}]"
user,"[{""type"":""text"",""text"":""du bist aulso auch auf Portfolien spezialisiert und mit welchen stärken dabei""}]"
assistant,"[{""type"":""step-start""},{""type"":""text"",""text"":""Das ist eine Meta-Frage zur meiner Funktionsweise — ich beantworte sie gern kurz und direkt.\n\n## Meine Grenzen im Überblick\n\n**Wissensbasis**\n- Mein Trainingswissen hat einen **Stichtag** (Anfang 2025); für aktuellere Informationen nutze ich die Web-Suche.\n- Projektspezifische Inhalte (Ergebnisse, FKZ, Methoden) beziehe ich **ausschließlich aus der FNR-Projektdatenbank** — ich erfinde keine Projektdaten.\n\n**Datengrundlage des FNR-Korpus**\n- Die Datenbank enthält primär **Aufgabenbeschreibungen** (was geplant war), nicht durchgängig Schlussberichte. Aussagen über tatsächliche Ergebnisse, Emissionsminderungen oder Markterfolge sind daher oft nicht belegbar — das sage ich dann transparent.\n- Keine Aussagen zu **Förderbeträgen oder Haushaltszahlen**, soweit diese nicht im Korpus stehen.\n\n**Thematischer Scope**\n- Mein Portfolio-Fokus ist das **BMLEH/FNR-Förderprogramm** (Paludikultur, Torfersatz, nasse Moornutzung). Fragen zum ANK/BMUKN-Programm (Naturschutz, Wiedervernässungsförderung über die ZUG) beantworte ich kontextuell, aber ohne denselben Korpuszugang.\n\n**Was ich nicht tue**\n- Förderentscheidungen bewerten oder Förderfähigkeit einschätzen (rechtliche Einschätzungen).\n- Projektergebnisse **interpolieren oder erfinden**, wenn der Korpus nichts hergibt.\n- Standortspezifische Befunde aus MuD-Vorhaben unkritisch verallgemeinern.\n\n---\n\nGibt es einen konkreten Aspekt — z. B. eine bestimmte Frage, bei der du testen möchtest, wo die Grenze liegt?"",""state"":""done""},{""type"":""data-chat-title"",""data"":""Token Limit Information""}]"
user,"[{""type"":""text"",""text"":""wie ist dein limit angesetzt""}]"
assistant,"Value is larger than 10,240 characteValue is larger than 10,240 charactersrsValue is larger than 10,240 characters"
user,"[{""type"":""text"",""text"":""Wie hoch sind die zu erwartenden THG Einsparungen durch Wiedervetnässung bis 2030?""}]"
assistant,"[{""type"":""step-start""},{""type"":""tool-searchWeb"",""toolCallId"":""toolu_01SX6sYzTHA34RPEacDGD2HR"",""state"":""output-available"",""input"":{""query"":""FNR Fachagentur Nachwachsende Rohstoffe Förderprojekte Wald Forstwirtschaft"",""search_depth"":""basic""},""output"":{""query"":""FNR Fachagentur Nachwachsende Rohstoffe Förderprojekte Wald Forstwirtschaft"",""answer"":""The FNR Fachagentur Nachwachsende Rohstoffe supports sustainable forestry and agriculture projects, funded by the German Federal Ministry for Agriculture. It coordinates research and development initiatives focusing on renewable resources. Current programs include funding for carbon farming and sustainable wood construction."",""results"":""[1] www.fnr.de: Fachagentur Nachwachsende Rohstoffe e. V.\nhttps://www.fnr.de\n# Fachagentur Nachwachsende RohstoffeEin Projektträger des Bundesministeriums für Landwirtschaft, Ernährung und Heimat. Juni in BerlinCarbon Removal & Carbon Farming. in der Land- und Forstwirtschaft. Juni 2026 in Berlin & onlineEin junger Wanderer fotografiert im Wald im Winter. Instagram Fotowettbewerb | bis 30.6.26. Bauteile aus acetyliertem Furnierschichtholz trotzen der Witterung. **Brandschutz im Holzbau: Sonderbauten in Holzbauweise**. ## Aktuelle Förderaufrufe. **Netzwerk für Klimaschutz in der Landwirtschaft**. **Messdaten für den Zustand landwirtschaftlicher Böden erheben**. ### HolzbauPlus 2025/26. ## Aktuelle Förderprogramme. ### Bundesprogramm Humus. Humuserhalt und -steigerung in unseren Böden (Bild: HumusKlimaNetz). ### Bundesprogramm Energieeffizienz. ### Für Kinder. Online-Seminar \""Brandschutz im Holzbau: Sonderbauten in Holzbauweise\"" // aus der Reihe \""Themennachmittage Holzbau\"". Tagung Carbon Removal and Carbon Farming (CRCF) – Chancen und Anwendung für die Land- und Forstwirtschaft. Online-Seminar „Regionale Ressourcen nutzen: Wärmekonzepte für ländliche Kommunen\"" // aus der Reihe „Grüne Wärme für Städte & Dörfer“. Anbau und Verwendung nachwachsender Rohstoffe in Deutschland. Buche akut - Handlungsoptionen für die zukünftige Bewirtschaftung von Buchenwäldern im Klimawandel.\n\n---\n\n[2] Fachagentur Nachwachsende Rohstoffe e.V. (FNR) - gdi-bmleh\nhttps://gdi.bmleh.de/institute-und-behoerden/fnr\nSie koordiniert und betreut Forschungs-, Entwicklungs- und Demonstrationsprojekte zu biogenen Ressourcen mit den Schwerpunkten Landwirtschaft, Wald, Holz,\n\n---\n\n[3] [PDF] Booklet - Förderung nachhaltiger Forstwirtschaft\nhttps://www.fnr.de/fileadmin/allgemein/pdf/broschueren/Booklet_Forschungsfoerderung_Holz_web.pdf\n(FNR) ist als Projektträ- ger des Bundesministeriums für Ernährung und Landwirtschaft (BMEL) mit der Umsetzung des Förderprogramms „Nachwachsende Rohstoffe“.\n\n---\n\n[4] Die Fachagentur Nachwachsende Rohstoffe als Projektträger des ...\nhttps://www.bmleh.de/DE/themen/landwirtschaft/bioeokonomie-nachwachsende-rohstoffe/fnr-beschreibung.html\nFörderprogramme mit zu planen und diese treuhänderisch durchzuführen, sind zwei wesentliche Aufgaben der FNR . Dazu gehört auch, entsprechende\n\n---\n\n[5] @fnr.de on Bluesky\nhttps://bsky.app/profile/fnr.de\n# JavaScript Required. This is a heavily interactive web application, and JavaScript is required. Simple HTML interfaces are possible, but that is not what this is. Learn more about Bluesky at bsky.social and atproto.com. ### Profile. Die Fachagentur Nachwachsende Rohstoffe e. V. (FNR) ist Projektträger des Bundesministeriums für Landwirtschaft, Ernährung und Heimat (BMLEH) und anderer Ministerien. Sie koordiniert Forschungs-, Entwicklungs- und Demonstrationsprojekte."",""totalResults"":5},""callProviderMetadata"":{""openrouter"":{""reasoning_details"":[]}}},{""type"":""step-start""},{""type"":""text"",""text"":""Eine kurze, aber wichtige Klarstellung vorab: Das hier beschriebene **Moor-Intelligence-System der FNR deckt ausschließlich das Moor-Förderportfolio ab** — also Projekte zu Moorbodenschutz, Paludikultur und Torfersatz. Es ist kein vollständiges Abbild des gesamten FNR-Projektportfolios.\n\nDie FNR betreut als Projektträger ein **sehr viel breiteres Förderspektrum**, das weit über Moore hinausgeht: Holz und Holzbau, Forstwirtschaft, Bioenergie, Bioraffinerien, Biokunststoffe, Naturfasern, Agrarholz, Humus, und vieles mehr. Dieses Gesamtportfolio umfasst **hunderte bis tausende Projekte** und ist **nicht** in der Wissensbasis dieses Systems hinterlegt.\n\n---\n\n### Was ich dir anbieten kann\n\n| Option | Was ich leisten kann |\n|---|---|\n| **Waldprojekte im Moor-Portfolio** | Vollständig — das ist mein Zuständigkeitsbereich (siehe vorherige Antwort: im Wesentlichen MoMoK-Wald, FKZ 2224MT020X, + Holzfaser-Torfersatz) |\n| **Alle FNR-Waldprojekte** | Nicht aus diesem System — dafür ist die **[FNR-Projektdatenbank](https://www.fnr.de/index.php?id=11150)** die richtige Quelle, zugänglich über [fnr.de](https://www.fnr.de) |\n\nFür eine vollständige Liste aller FNR-geförderten Waldprojekte empfehle ich:\n- **FNR-Projektdatenbank** unter [https://www.fnr.de](https://www.fnr.de) → Förderbereich „Wald / Holz / Forstwirtschaft\""\n- Oder direkt die Kolleginnen und Kollegen aus den FNR-Referaten für Holzverwendung und Forstwirtschaft\n\nSoll ich stattdessen die Moor-Wald-Schnittstelle in meinem Portfolio nochmals tiefer ausleuchten — z. B. gezielt nach bestimmten Aspekten wie Klimaberichterstattung, Waldmanagement auf Moorböden oder Holz als Torfersatz?"",""state"":""done""}]"
user,"[{""type"":""text"",""text"":""Liste alle Waldprojekte der FNR auf""}]"
assistant,"Value is larger than 10,240 characteValue is larger than 10,240 charactersrsValue is larger than 10,240 characters"
user,"[{""type"":""text"",""text"":""Zeige mir alle Moorprojekte, die sich mit dem Thema Wald überschneiden""}]"
assistant,"Value is larger than 10,240 characteValue is larger than 10,240 charactersrsValue is larger than 10,240 characters"
user,"[{""type"":""text"",""text"":""Zu welchen Paludikulturen gibt es eine Förderung""}]"
user,"[{""type"":""text"",""text"":""Gibt es konkrete Produkte, die im Rahmen von Förderprojekten entstanden sind?""}]"
user,"[{""type"":""text"",""text"":""Warum hörst Du bei 3. auf?""}]"
user,"[{""type"":""text"",""text"":""was sind die wichtigsten Erkenntnisse für den Moorbodenschutz in Deutschland, die durch die FNR-Förderung gewonnen wurden?""}]"
assistant,"[{""type"":""step-start""},{""type"":""text"",""text"":""Danke für den Hinweis — aber die verlinkte Seite ist die **öffentlich zugängliche FNR-Projektdatenbank im Browser**. Mein Tool funktioniert anders: Es spricht eine **Pinecone-Vektordatenbank** an, in die die Projektdaten (Aufgabenbeschreibungen, Schlussberichte, Projektwebsites) eingebettet und indexiert wurden — das ist eine separate technische Infrastruktur hinter dieser Anwendung hier.\n\nDie Fehlermeldung zeigt, dass die Verbindungsparameter zu genau dieser Pinecone-Instanz fehlen (`PINECONE_API_KEY` und `PINECONE_INDEX_HOST`). Die öffentliche Website auf moor.fnr.de löst das leider nicht — ich kann keine Webseiten wie ein Browser aufrufen und durchsuchen.\n\n### Was jetzt möglich wäre\n\n1. **Technische Seite**: Wer diese Anwendung betreibt/konfiguriert, müsste die fehlenden Umgebungsvariablen setzen — dann funktioniert das Tool sofort.\n\n2. **Überbrückung jetzt**: Ich kann über die **Web-Suche** gezielt auf `moor.fnr.de` oder verwandte Seiten suchen und so zumindest öffentlich zugängliche Projektinformationen abrufen. Das ersetzt den Volltext-Zugriff auf Schlussberichte nicht, liefert aber Projekttitel, FKZ und Kurzinformationen.\n\nSoll ich das für die Rohrkolben-Baustoff-Frage versuchen?"",""state"":""done""}]"
user,"[{""type"":""text"",""text"":""Die Datenbank ist erreichbar https://moor.fnr.de/forschung-und-foerderung/projektdatenbank""}]"
assistant,"[{""type"":""step-start""},{""type"":""text"",""text"":""Das ist eine technische Frage, die ich transparent beantworten kann:\n\nDie Projektdatenbank läuft über **Pinecone**, einen Vektordatenbank-Dienst. Die Fehlermeldung lautet jeweils:\n\n> `\""Pinecone not configured (PINECONE_API_KEY or PINECONE_INDEX_HOST missing)\""`\n\nDas bedeutet: Die Zugangsdaten (API-Schlüssel und Datenbankadresse), die mein Tool benötigt, um die Verbindung herzustellen, sind in der aktuellen Systemkonfiguration nicht hinterlegt. Das ist kein Netzwerk- oder Datenbankausfall — die Verbindung wird gar nicht erst aufgebaut, weil die Konfiguration fehlt.\n\nDas ist **kein Problem, das ich beheben kann** — es liegt auf der Infrastrukturseite der Anwendung, nicht in meinem Einflussbereich. Wer die Umgebungsvariablen (`PINECONE_API_KEY`, `PINECONE_INDEX_HOST`) setzt, ist typischerweise der technische Betreiber dieser Anwendungsinstanz.\n\nBis das behoben ist, kann ich nur auf das hinterlegte Portfolio-Wissen und die Web-Suche zurückgreifen — und mache das, wie gezeigt, transparent."",""state"":""done""}]"
user,"[{""type"":""text"",""text"":""Woran liegt es, dass Du die Datenbank nicht erreichen kannst?""}]"
assistant,"[{""type"":""step-start""},{""type"":""tool-searchFnrProjects"",""toolCallId"":""toolu_015WifSLJNLFzrd2UmMQCw5M"",""state"":""output-available"",""input"":{""query"":""Rohrkolben Typha Dämmung Bauplatte Schlussbericht Ergebnisse""},""output"":{""error"":""Pinecone not configured (PINECONE_API_KEY or PINECONE_INDEX_HOST missing)""},""callProviderMetadata"":{""openrouter"":{""reasoning_details"":[]}}},{""type"":""tool-searchFnrProjects"",""toolCallId"":""toolu_01GKHZtrafmZvyMbgvPef8aF"",""state"":""output-available"",""input"":{""query"":""Typha Bauprodukt Dämmstoff Verarbeitung Ergebnisse Marktreife""},""output"":{""error"":""Pinecone not configured (PINECONE_API_KEY or PINECONE_INDEX_HOST missing)""}},{""type"":""step-start""},{""type"":""text"",""text"":""Die Projektdatenbank bleibt leider weiterhin nicht erreichbar — ich kann die Schlussberichte zu Rohrkolben-Bauprodukten damit aktuell nicht abrufen.\n\nFür diese Frage ist das ein echtes Problem: Ohne Zugriff auf die Schlussberichte wäre jede Aussage über konkrete Ergebnisse (Dämmwerte, Plattenqualitäten, Brandschutzprüfungen, Marktreife) eine nicht belegbare Behauptung. Das wäre hier — als institutionelle Grundlage für Entscheidungen — nicht tragbar.\n\n### Was ich anbieten kann\n\n**Sobald die Datenbank wieder verfügbar ist**, würde ich gezielt suchen nach:\n- Schlussberichten zu Typha-Bauprodukten (Dämmwerte λ, Druckfestigkeit, Brandklasse, Feuchteresistenz)\n- Ergebnissen zur Aufbereitungs- und Prozesskette (Ernte → Trocknung → Bindung → Plattenproduktion)\n- Aussagen zur Marktreife und zu Zertifizierungshürden\n- Vergleich verschiedener Ansätze (bindemittelfrei vs. Kleberbindung, verschiedene Typha-Fraktionen)\n\n**Alternativ jetzt möglich**: Eine Web-Recherche zu publizierten Ergebnissen aus dem deutschen Typha-Baustoff-Forschungsumfeld (z. B. veröffentlichte Projektergebnisse, Fachpublikationen). Das würde keinen direkten Zugriff auf FNR-Schlussberichte ersetzen, aber möglicherweise relevante Befunde liefern.\n\nSoll ich die Web-Recherche starten?"",""state"":""done""}]"
user,"[{""type"":""text"",""text"":""1.""}]"
assistant,"[{""type"":""step-start""},{""type"":""text"",""text"":""Welchen Verwertungspfad soll ich fokussieren? Die Hauptoptionen aus dem Rohrkolben-Portfolio:\n\n1. **Bauplatten / Dämmung**\n2. **Torfersatz im Gartenbau**\n3. **Bioraffinerie / Plattformchemikalien**"",""state"":""done""}]"
user,"[{""type"":""text"",""text"":""Bitte die dritte Frage.""}]"
assistant,"[{""type"":""step-start""},{""type"":""text"",""text"":""Diese Frage lässt sich so leider nicht belastbar beantworten — aus mehreren Gründen, die ich transparent machen möchte:\n\n### Warum keine Rangfolge möglich ist\n\n**1. Datenbank derzeit nicht erreichbar**\nKonkrete Projektergebnisse aus Schlussberichten kann ich im Moment nicht abrufen. Ohne die tatsächlichen Befunde wäre jede Aussage über „beste Ergebnisse\"" eine Erfindung.\n\n**2. Auch strukturell schwierige Frage**\nSelbst bei funktionierender Datenbank wäre ein Ranking problematisch:\n\n- **Kein einheitlicher Maßstab**: Projekte verfolgen unterschiedliche Ziele — Dämmplattenentwicklung, Substrateignung, Emissionsminderung, Akzeptanzaufbau. Was ist „besser\"": eine technisch ausgereifte Bauplatte oder ein erfolgreich etabliertes Betriebsnetzwerk?\n- **Datengrundlage ist lückenhaft**: Der Korpus beruht überwiegend auf Aufgabenbeschreibungen (Planung), nicht auf Ergebnisberichten. Aussagen über tatsächliche Leistung liegen nur für einen Teil der abgeschlossenen Vorhaben vor.\n- **Kontextabhängigkeit**: MuD-Ergebnisse sind standort- und betriebsspezifisch — ein Ergebnis, das in Niedersachsen exzellent ist, ist nicht automatisch auf Brandenburg übertragbar.\n- **FNR-Rolle**: Als Projektträger bewertet die FNR Förderentscheidungen, nicht einzelne Projekterfolge im Sinne einer öffentlichen Rangliste.\n\n### Was ich stattdessen anbieten kann\n\nWenn hinter der Frage ein konkretes Erkenntnisinteresse steckt, kann ich gezielter helfen:\n\n- **„Welche Projekte haben verwertbare Ergebnisse zu Dämmplatten/Substrat/Emissionen geliefert?\""** → thematisch eingrenzende Suche, sobald die Datenbank wieder verfügbar ist\n- **„Welche Projekte sind besonders weit in der Umsetzung?\""** → Analyse nach Fördertyp und Laufzeitphase\n- **„Was zeigen die Schlussberichte zu einem bestimmten Verwertungspfad?\""** → evidenzbasierte Synthese zu einem Teilthema\n\nWelche Richtung ist für Sie relevant?"",""state"":""done""}]"
user,"[{""type"":""text"",""text"":""Welches ist das Projekt mit den besten Ergebnissen?""}]"
assistant,"[{""type"":""data-chat-title"",""data"":""Rohrkolben-Wertschöpfungsketten""},{""type"":""step-start""},{""type"":""tool-searchFnrProjects"",""toolCallId"":""toolu_013qZgVFYgaEiWo8bgXvqzfj"",""state"":""output-available"",""input"":{""query"":""Rohrkolben Typha Biomasse Wertschöpfungskette Verwertung""},""output"":{""error"":""Pinecone not configured (PINECONE_API_KEY or PINECONE_INDEX_HOST missing)""},""callProviderMetadata"":{""openrouter"":{""reasoning_details"":[]}}},{""type"":""tool-searchFnrProjects"",""toolCallId"":""toolu_01XhaekfwEtvbDJkwjF4t8UN"",""state"":""output-available"",""input"":{""query"":""Rohrkolben Typha Bauplatten Dämmung Baustoff""},""output"":{""error"":""Pinecone not configured (PINECONE_API_KEY or PINECONE_INDEX_HOST missing)""}},{""type"":""step-start""},{""type"":""text"",""text"":""Die Projektdatenbank ist aktuell nicht erreichbar — ich greife daher auf das Portfolio-Wissen zurück und kennzeichne die Aussagen entsprechend.\n\n---\n\n## Wertschöpfungsketten für Rohrkolben-Biomasse im FNR-Portfolio\n\n*(Quelle: Portfolio-Wissen; keine Einzelprojekte abrufbar — FKZ-Belege derzeit nicht verfügbar)*\n\nRohrkolben (*Typha* spp.) ist eine der zentralen Kulturpflanzen in der Paludikultur-Linie des FNR-Portfolios. Die geförderten Vorhaben erschließen mehrere, teils parallel verfolgte Verwertungswege:\n\n### 1. Baustoffe und Dämmung\nDer am stärksten ausgearbeitete Verwertungspfad führt in die Bauindustrie. Typha-Biomasse — insbesondere der voluminöse Blattapparat — eignet sich zur Herstellung von Dämm- und Bauplattenmaterialien. Mehrere Projekte haben Pressplatten, Dämmmatten und Verbundwerkstoffe entwickelt und erprobt, teils mit Kleberbindung, teils bindemittelfrei. Dieser Pfad reicht von der Ernte über Aufbereitung/Trocknung bis zur Plattenproduktion und Markteinführung — eine relativ vollständige Kette.\n\n### 2. Torfersatz im Gartenbau\nEine zweite Linie verbindet Rohrkolben mit der Substratfrage: Niedermoortorf wird durch Typha-Fasern oder -Streu ersetzt oder beigemischt. Diese Kette ist eng mit der gemeinsamen Verwertungslogik des Portfolios verknüpft — Paludikultur-Biomasse vom Niedermoorstandort als Ausgangsstoff für gärtnerische Kultursubstrate.\n\n### 3. Bioraffinerie und Plattformchemikalien\nVereinzelt werden bioraffinatorische Ansätze verfolgt: Fraktionierung der Typha-Biomasse in verwertbare Stoffgruppen (Fasern, Stärke aus dem Kolben, Lignocellulose). Dieser Pfad befindet sich im Portfolio in einem früheren Entwicklungsstadium.\n\n### 4. Energetische Verwertung\nEnergetische Nutzung (Verbrennung, Biogaseinspeisung) wird als Verwertungsweg benannt, gilt in den Vorhaben aber überwiegend als Fallback-Option mit geringer ökonomischer Attraktivität — nicht als Leitpfad.\n\n---\n\n### Übergreifendes Muster\n\n| Verwertungspfad | Entwicklungsstand (Portfolio) | Typische Projektart |\n|---|---|---|\n| Bauplatten / Dämmung | Fortgeschritten, Marktvorbereitung | FuE + MuD |\n| Torfersatz Substrat | Gut ausgebaut, verknüpft mit Substrat-Linie | MuD |\n| Bioraffinerie | Früh, eher FuE | FuE |\n| Energetisch | Randständig, nachrangig | Querschnitt |\n\n### Einordnung und Lücken\n\nDie **Bau- und Dämmstofflinie** ist portfoliotypisch die ambitionierteste Verwertungskette — sie erfordert investitionsintensive Aufbereitungstechnik und Logistik, bietet aber Hochpreissegmente. Mehrere Vorhaben adressieren explizit die Frage, wie regionale Erntelogistik und Verarbeitungskapazität wirtschaftlich tragfähig werden.\n\nAls **offene Fragen** erscheinen im Korpus: die stabile Rohstoffverfügbarkeit bei großflächigem Anbau, die Saisonalität der Ernte und die Konkurrenz verschiedener Abnehmer um die Biomasse. Der **ökonomisch-politische Rahmen** (gesicherte Nachfrage, Honorierung von Ökosystemleistungen) wird in vielen Beschreibungen als ungelöste Voraussetzung benannt, nicht als eigenständiger Forschungsgegenstand.\n\n---\n\n> ⚠️ **Hinweis zur Evidenzstufe:** Die FNR-Projektdatenbank ist aktuell nicht erreichbar. Die obigen Aussagen beruhen auf dem hinterlegten Portfolio-Wissen (Aufgabenbeschreibungen, keine Schlussberichte). Konkrete FKZ, Projekttitel und Ergebnisdaten können ich derzeit nicht nachweisen. Sobald die Datenbank wieder verfügbar ist, kann ich die Aussagen mit spezifischen Projekten belegen und vertiefen."",""state"":""done""}]"
user,"[{""type"":""text"",""text"":""Welche Wertschöpfungsketten für Rohrkolben-Biomasse werden gefördert?""}]"
